# fpga_nets.tsv — FPGA net name / annotation table for awto-2000 (Hantek 2D82AUTO)
#
# PURPOSE
#   Human-maintained source of truth for FPGA net names, replacing auto-generated clk_N placeholders.
#   Loaded by load.py during rebuild → populates net_names table → used by chains.py / report2.py.
#   Same pattern as ghidra_names.tsv for firmware: edit here, run ./scripts/rebuild, names appear everywhere.
#
# CONFIDENCE LEVELS — mandatory, read by all tooling and AI agents
#   confirmed   Derived directly from bitstream, schematic, or physical measurement. Trust completely.
#   inferred    Strong structural reasoning (spatial proximity, fanout pattern, known subsystem).
#               Likely correct but not verified. AI-generated entries start here at best.
#   speculative An educated guess. Could be wrong. Do not act on this without independent verification.
#
# NAMING CONVENTION
#   Clock nets:  clk_<domain>_<function>
#     domain:    h0=HPBX0000 (125 MHz, CLKOS), h1=HPBX0100, h2=HPBX0200 (250 MHz, CLKOP)
#     function:  adc_cap=ADC capture pipeline, adc_enc=ADC encode clock output,
#                awg_dds=AWG DDS / waveform read, awg_wr=AWG EBR write, dac=DAC output register
#   Data nets:   <subsystem>_<noun>[_bit]
#     subsystem: adc, dac, awg, spi, trig, afe
#   Pad nets:    keep existing pad labels (ADC_D0A, DAC_CLK etc.) — confirmed in load.py from pin map
#
# COLUMNS
#   net         Internal net ID (nNNNN from prjtrellis extraction). Primary key for join to DB.
#   name        Canonical short name. Used in all report output instead of nNNNN.
#   type        clk | data | ctrl | pad | unknown
#   confidence  confirmed | inferred | speculative
#   freq_mhz    Clock frequency in MHz (clk type only), or blank
#   hpbx        HPBX spine (BRANCH_HPBX0000 / 0100 / 0200 / 0300), or blank
#   ff_count    Number of FFs clocked by this net (clk type only), or blank
#   notes       Free-form. For AI-generated entries: start with "AI:" and explain the reasoning chain.
#               For confirmed entries: cite the source (bitstream word, schematic ref, measurement).
#
# HOW TO ADD ENTRIES
#   1. Pick the right confidence level. When in doubt, use speculative.
#   2. Use the naming convention above.
#   3. Run ./scripts/rebuild to apply.
#   4. If analysis later confirms or refutes a speculative entry, update confidence and notes.
#
# WHAT NOT TO PUT HERE
#   - reg_rNcN_q[N] nets — auto-named by load.py from FF location, no value in duplicating
#   - pad_NN nets — auto-named from pin map
#   - Entries where confidence=speculative and notes is empty — write your reasoning or don't add it
#
# ─────────────────────────────────────────────────────────────────────────────────────────────────
# net	name	type	confidence	freq_mhz	hpbx	ff_count	notes
# ─────────────────────────────────────────────────────────────────────────────────────────────────

# ── Confirmed pad nets (from pin map + prjtrellis JQ/JA arcs) ─────────────────────────────────
# AWG write clock is 125 MHz (MCU writes waveform table via SPI at moderate rate).
# AWG read/DDS clock is 250 MHz (DAC output pipeline runs at full PLL rate).
n1942	clk_h0_awg_wr	clk	inferred	125	BRANCH_HPBX0000	16	AI: Only clock on HPBX0000 driving R6C20 (AWG EBR) FFs. 16 FFs all in rows 2-3 col 20. AWG EBR write clock. 125 MHz = CLKOS. Reasoning: R6C20 confirmed AWG EBR; write side needs slower clock matching SPI write cadence; HPBX0000 = 125 MHz CLKOS. Could be wrong if there's a separate write-domain clock not on the HPBX spine.
n1943	clk_h2_awg_dds	clk	inferred	250	BRANCH_HPBX0200	19	AI: Only clock on HPBX0200 driving R6C20 (AWG EBR) FFs. 19 FFs rows 4-5 near col 20. AWG DDS / waveform readout pipeline. 250 MHz = CLKOP. Reasoning: R6C20 read side feeds DAC bus; DDS accumulator must run at full DAC clock rate = 250 MHz; HPBX0200 confirmed 250 MHz. Spatial match with DAC-adjacent FFs reinforces this.

# n1858: 31 FFs all in rows 2-5 cols 1-3 (left edge, near DAC output pins 35-54 and ADC_ENCB pin 98).
# DAC_CLK (pin 54) and ADC_ENCB (pin 98) share net n1147 = 125 MHz CLKOS.
# The FF at ff_r3c2_B0 has D=1'b0 and drives ADC_ENCB output pad — meaning this clock domain
# clocks the ENCB output register. That FF is the physical register driving pin 98.
n1858	clk_h0_dac_enc	clk	inferred	125	BRANCH_HPBX0000	31	AI: 31 FFs concentrated at rows 2-5 cols 1-3 (left edge). Confirmed: ff_r3c2_B0 (D=1'b0) is clocked by this net and drives ADC_ENCB (pin 98) = 125 MHz CLKOS output. Left-edge FFs adjacent to DAC pins 35-54 — strongly suggests DAC output register pipeline. 125 MHz CLKOS. Could be wrong about DAC role if these FFs are actually SPI/control logic at left edge.

# ── Spatial layout reference ──────────────────────────────────────────────────
# FPGA is 11 rows (0-10) × 22 cols (0-21). Row 6 = EBR band.
# Pad locations (from pad_map):
#   ADC Ch A inputs (DA0-7+ENCA): rows 2-5, col 21 (right edge)
#   ADC Ch B inputs (DB0-7+ENCB): row 0, cols 8-14 (top edge)
#   DAC outputs (D0-D11+CLK+PD):  rows 9-12, cols 8-21 (bottom-right)
#   AFE shift regs U1/U7:         rows 3-5 col 0 (left) / row 5 col 21 (right)
#   SPI CS (FPGA_nCS):            row 12, col 3
#   Crystal:                      row 2, col 0
#
# Data flows: ADC-A (col 21 right edge) → right-to-left through rows 2-5 → EBR row 6
#             ADC-B (row 0 top)         → top-to-bottom through cols 8-14 → EBR row 6
#             EBR row 6 → rows 7-10 (below EBR) → SPI MISO path (left edge)
#             AWG: MCU SPI write → R6C20 EBR → DAC bus (bottom-right)
# ─────────────────────────────────────────────────────────────────────────────

# n1877: 90 FFs, 250 MHz. Tiles: r2-5 c6-9. MIDFIELD between ADC-A input (col 21) and EBR (col 1-20).
# This is the main ADC Ch A sample pipeline — data clocked from input registers (col 21) through
# pipeline stages (cols 9→6) toward EBR write ports. Largest domain = main data path.
n1877	clk_h2_adc_a_pipe	clk	inferred	250	BRANCH_HPBX0200	90	AI: 90 FFs, 250 MHz. Tiles r2-5 c6-9 — midfield band directly in the ADC Ch A data path (Ch A pads at col 21, EBRs at col 1-20). Position and size consistent with main ADC Ch A capture pipeline. 250 MHz = CLKOP = ADC sample rate. Inferred from spatial position; could be wrong if this region is used for something other than capture pipeline staging.

# n1897: 73 FFs, 250 MHz. Tiles: r2-5 c10-13. Directly above EBR blocks R6C10/R6C1/R6C4.
# Also confirmed (chains.txt section 7) drives write-side FFs on R6C1/4/10/17. ADC write pipeline.
n1897	clk_h2_adc_wr_l	clk	inferred	250	BRANCH_HPBX0200	73	AI: 73 FFs, 250 MHz. Tiles r2-5 c10-13, directly above left ADC EBRs (R6C1/4/7/10). Chains.txt section 7 confirms drives write-side FFs on R6C1/4/10/17. ADC EBR write clock for left EBR group. 250 MHz = ADC sample rate. Spatial + EBR association is strong evidence; "inferred" because write-clock FFs could be address/enable not data.

# n1928: 67 FFs, 125 MHz. Tiles: r2-5 c16-19. Right side of upper fabric.
# ADC Ch B pads enter at row 0 cols 8-14. Data flows downward into rows 2-5.
# Col 16-19 is the capture pipeline for Ch B (top-edge input → downward routing → EBR).
# 125 MHz = CLKOS. ADC interleave: Ch A at 250 MHz, Ch B at 125 MHz (ENCB clock) is plausible
# for the 2-phase interleave where Ch B samples on the opposite edge.
n1928	clk_h0_adc_b_pipe	clk	inferred	125	BRANCH_HPBX0000	67	AI: 67 FFs, 125 MHz. Tiles r2-5 c16-19 — right-side fabric, position matches ADC Ch B data path (Ch B pads at row 0 cols 8-14, data flows downward then laterally). 125 MHz = CLKOS = ADC_ENCB clock frequency. Inferred: spatial position is consistent with Ch B capture pipeline; 125 MHz matches ENCB. Could be wrong — this region may serve a different 125 MHz function.

# n1916: 56 FFs, 250 MHz. Tiles: r2-5 c14-17. Overlap zone between Ch A (c6-9) and Ch B (c16-19) paths.
# Also extends into c14-15 — just right of R6C14 EBR. Could be the interleave merge/mux stage
# where Ch A (250 MHz) and Ch B (125 MHz) samples are combined before EBR write.
n1916	clk_h2_adc_merge	clk	inferred	250	BRANCH_HPBX0200	56	AI: 56 FFs, 250 MHz. Tiles r2-5 c14-17 — straddles the boundary between Ch A pipeline (c6-9) and Ch B pipeline (c16-19). Position consistent with interleave merge or mux stage where both ADC channels are combined. 250 MHz clock drives the merged output. Inferred from spatial position; role is speculative within the ADC data path.

# n1860: 47 FFs, 250 MHz. Tiles: r2-5 c3-5. Just left of midfield, directly above R6C4/R6C7 EBRs.
# Chains.txt section 7 confirms drives write FFs on R6C14/R6C7. ADC EBR write for mid EBRs.
n1860	clk_h2_adc_wr_m	clk	inferred	250	BRANCH_HPBX0200	47	AI: 47 FFs, 250 MHz. Tiles r2-5 c3-5, directly above R6C4/R6C7 EBRs. Chains.txt section 7 confirms drives write-side FFs on R6C14 and R6C7. ADC EBR write clock for mid EBR group. Same reasoning as clk_h2_adc_wr_l.

# n1944: 59 FFs, 250 MHz. Tiles: r3-10 c1-2 — spans the FULL HEIGHT of the fabric at left edge.
# This is distinctive: left-edge columns 1-2 include rows 7-10 (below EBR) AND rows 3-5 (above EBR).
# The SPI burst readout path (cmd 0xa4) serialises EBR data out to MISO. MISO would be on left edge
# (SPI CS is at col 3). A clock spanning all rows at left edge is strongly suggestive of the SPI
# output serialiser/shift register, which must be accessible from both above (EBR feed) and below.
n1944	clk_h2_spi_rd	clk	inferred	250	BRANCH_HPBX0200	59	AI: 59 FFs, 250 MHz. Tiles r3-10 c1-2 — uniquely spans the full fabric height at left edge (cols 1-2). SPI CS (FPGA_nCS) is at col 3. A clock spanning all rows at left edge is consistent with the SPI burst readout serialiser (cmd 0xa4 reads EBR samples to MCU). The path must reach both EBR outputs (row 6) and the SPI interface (left edge, all rows). 250 MHz clock for high-speed SPI readout. Could be wrong — left-edge spanning could be a control/address bus instead.

# n2223: 32 FFs, 250 MHz. Tiles: r7-9 c14-17. Below EBR, right area.
# Chains.txt section 7: drives write FFs on ALL 6 ADC EBR blocks. Spanning all EBRs at 250 MHz
# and located BELOW EBR row suggests this is write address counter or ring-buffer write pointer —
# a single counter that increments for all EBRs simultaneously.
n2223	clk_h2_adc_waddr	clk	inferred	250	BRANCH_HPBX0200	32	AI: 32 FFs, 250 MHz. Tiles r7-9 c14-17 (below EBR row). Chains.txt section 7 confirms drives write FFs on ALL 6 ADC EBR blocks simultaneously. A clock driving all EBRs suggests a shared write address counter or write-enable generator rather than a per-EBR data clock. Below-EBR position is consistent with control logic fed back upward to EBR ports. Inferred; could be wrong about address vs data role.

# n1910: 37 FFs, 125 MHz. Tiles: r2-5 c12-15. Above EBR right area, 125 MHz.
# Confirmed: drives ff_r2c13_B1 (D=1'b0) — EBR JQ output latch adjacent to ADC EBRs.
# The JQ latch clock is the EBR read-side clock. 125 MHz = CLKOS = correct for EBR read domain.
n1910	clk_h0_ebr_rd	clk	inferred	125	BRANCH_HPBX0000	37	AI: 37 FFs, 125 MHz. Tiles r2-5 c12-15 (above EBR, right of centre). Confirmed drives ff_r2c13_B1 (D=1'b0) — an EBR JQ output latch adjacent to ADC EBRs. EBR read-side latch clock. 125 MHz = CLKOS. The JQ output FFs latch DOB data at 125 MHz for handoff to the SPI readout path. Strong evidence from the confirmed JQ latch connection.

# ── EBR address buses ─────────────────────────────────────────────────────────
# Read address nets — shared across all 6 ADC EBRs (confirmed from ebr_ports query).
# These are the ring-buffer read pointer bits, driven by SPI readout logic (rows 7-10).
# All 6 ADC EBRs (R6C1/4/7/10/14/17) share the same read address bus = single read pointer.
n1101	ebr_raddr_0	data	confirmed				AI: JC0/JD0 read-address input to all 6 ADC EBRs (R6C1/4/7/10/14/17). Confirmed from ebr_ports query — appears as read-role port on all 6 blocks. Bit 0 of shared EBR read address bus (ring buffer read pointer).
n1099	ebr_raddr_1	data	confirmed				AI: JC0/JC1 read-address input to 5 ADC EBRs (R6C1/4/7/10/17 — not R6C14 which uses different port mapping). Confirmed from ebr_ports. Bit 1 of shared read address.
n1103	ebr_raddr_2	data	confirmed				AI: JD0 read-address input to R6C1/4/10/17. Confirmed from ebr_ports. Bit 2 of shared read address.
n1096	ebr_raddr_3	data	confirmed				AI: JD1 read-address input to R6C1/4/10/17. Confirmed from ebr_ports. Bit 3 of shared read address.
n2146	ebr_raddr_4	data	confirmed				AI: JD2 read-address input to R6C1/4/10/17. Confirmed from ebr_ports. Bit 4 of shared read address.
n2210	ebr_raddr_5	data	confirmed				AI: JC5 read-address input to R6C1/4/10/17. Confirmed from ebr_ports. Bit 5 of shared read address.
n2117	ebr_raddr_6	data	confirmed				AI: JD5 read-address input to R6C1/10/17. Confirmed from ebr_ports. Bit 6 of shared read address (9-bit address for 512-deep DP8KC).

# Write address/control nets — shared across 4 ADC EBRs (R6C1/4/10/17).
# These are the ADC sample write address bits — incremented at 250 MSPS.
n1098	ebr_waddr_0	data	confirmed				AI: JA0 write-address input to R6C1/4/10/17. Confirmed from ebr_ports. Bit 0 of EBR write address (ring buffer write pointer, 250 MHz domain).
n1087	ebr_waddr_1	data	confirmed				AI: JA2 write-address input to R6C1/4/10/17. Confirmed from ebr_ports. Bit 1 of EBR write address.
n2232	ebr_waddr_2	data	confirmed				AI: JA3 write-address input to R6C1/4/10/17. Confirmed from ebr_ports. Bit 2 of EBR write address.
n2584	ebr_waddr_3	data	confirmed				AI: JB3 write-address input to R6C1/4/10/17. Confirmed from ebr_ports. Bit 3 of EBR write address.

# Ch B EBR write address bus — R6C5/8/11/15/18 (Ch B ring buffer EBRs).
# Parallel to Ch A waddr bus but targeting the Ch B EBR group.
# Source FFs in clk_h2_adc_waddr domain (n2223), CE gated by separate enables.
n1094	ebr_b_waddr_0	data	inferred				AI: JA2 write-address input to R6C2/5/11/18 and JD1 to R6C7/14. Ch B EBR write address bit 0. FF ff_r7c14_A0 in clk_h2_adc_waddr domain, CE=n612.
n1092	ebr_b_waddr_1	data	inferred				AI: JA2 write-address input to R6C8/15, JB0 to R6C5/11/18, JCLK1 to R6C14. Ch B EBR write address bit 1. FF ff_r9c14_D0.
n1090	ebr_b_waddr_2	data	inferred				AI: JB0 write-address input to R6C8/15, JD3 to R6C5/11/18. Ch B EBR write address bit 2. FF ff_r9c14_D1.

# ── EBR LSR (capture arm / trigger reset) nets ───────────────────────────────
# JLSR0 on the ADC EBRs is the synchronous load/set/reset — asserted to arm capture
# or reset the ring buffer write pointer. Multiple FFs drive these nets across clock
# domains indicating a synchronized trigger-arm mechanism.
n776	ebr_arm	ctrl	inferred				AI: Drives JLSR0 on 6 ADC EBRs (R6C4/7/10/14/17/20). Three source FFs: ff_r2c7_A1 (clk_h2_adc_a_pipe, CE=n1881), ff_r5c13_A1 (clk_h2_adc_wr_l, CE=n612), ff_r9c19_B0 (clk_h2_dac_out, CE=n804=spi_ser_ce_b). Multi-domain drive = synchronized capture arm signal. When asserted, resets EBR write state machine across all channels simultaneously — this is the trigger arm / capture-complete flag.
n1107	ebr_arm_b	ctrl	inferred				AI: Drives JLSR0 on R6C7/10 and is output of ff_r7c9_A0. Also fed by R6C10/7 EBR DOB — cascade reset from EBR read data. Secondary arm signal for left EBR group.
n1790	ebr_arm_c	ctrl	inferred				AI: Drives JLSR0 on R6C14/17/20. Output of ff_r4c17_B0 and R6C14/17 EBR DOB. Arm signal for right EBR group + AWG EBR (R6C20).
n813	ebr_clk2	ctrl	inferred				AI: Drives JCLK2 on R6C1/4. Output of ff_r9c1_B1. Secondary EBR clock input — possibly write clock for left EBR group sub-domain, or AWG reload clock.
n1105	ebr_lsr_cascade	ctrl	inferred				AI: Driven by R6C17 EBR DOB output. Feeds JLSR0 on other EBRs — EBR read data cascading into reset of adjacent EBRs. Part of ring-buffer wrap/reset logic.

# ── EBR read data output nets (JQ_src = DOB output after JQ latch) ────────────
# These are the actual ADC sample data nets coming OUT of the EBR blocks.
# Fanout 2000-4000 = they drive the entire SPI serialiser pipeline (rows 7-10).
n1027	ebr_r6c1_dob_0	data	inferred				AI: JQ_src output from R6C1, fanout 2328. One of two read data bits from R6C1 (DP8KC 2-bit width). Drives SPI readout pipeline. Inferred bit index from port ordering — not confirmed against actual DOB pin.
n2101	ebr_r6c1_dob_1	data	inferred				AI: JQ_src output from R6C1, fanout 2320. Second read data bit from R6C1.
n998	ebr_r6c10_dob_0	data	inferred				AI: JQ_src output from R6C10, fanout 4008. Highest fanout net in design. One of two read data bits from R6C10 (DP8KC 2-bit width). Drives SPI serialiser.
n2574	ebr_r6c10_dob_1	data	inferred				AI: JQ_src output from R6C10, fanout 4000. Second read data bit from R6C10.
n1024	ebr_r6c14_dob_0	data	inferred				AI: JQ_src output from R6C14 (DP8KC 4-bit width). Fanout 2904.
n983	ebr_r6c14_dob_1	data	inferred				AI: JQ_src output from R6C14. Fanout 2904.
n997	ebr_r6c14_dob_2	data	inferred				AI: JQ_src output from R6C14. Fanout 2904.
n1023	ebr_r6c17_dob_0	data	inferred				AI: JQ_src output from R6C17 (PDPW8KC 2-bit). Fanout 3392.
n1045	ebr_r6c17_dob_1	data	inferred				AI: JQ_src output from R6C17. Fanout 3392.
n1020	ebr_r6c4_dob_0	data	inferred				AI: JQ_src output from R6C4 (DP8KC 2-bit). Fanout 3736.
n993	ebr_r6c4_dob_1	data	inferred				AI: JQ_src output from R6C4. Fanout 3736.
n1019	ebr_r6c7_dob_0	data	inferred				AI: JQ_src output from R6C7 (DP8KC 2-bit or 4-bit). Fanout 3078.
n1028	ebr_r6c7_dob_1	data	inferred				AI: JQ_src output from R6C7. Fanout 3078.
n994	ebr_r6c7_dob_2	data	inferred				AI: JQ_src output from R6C7. Fanout 3078.

# AWG waveform EBR (R6C20) read data — drives DAC bus
n2665	ebr_r6c20_dob_0	data	inferred				AI: JQ_src output from R6C20 (AWG PDPW8KC 18-bit). Fanout 1764. Drives DAC output pipeline. One bit of the 18-bit waveform sample bus.
n2676	ebr_r6c20_dob_1	data	inferred				AI: JQ_src output from R6C20. Fanout 1764.
n2678	ebr_r6c20_dob_2	data	inferred				AI: JQ_src output from R6C20. Fanout 1764.

# n2231: 45 FFs, 125 MHz. Tiles: r7-10 c16-19. BELOW EBR, right side.
# n2219: 45 FFs, 125 MHz. Tiles: r7-10 c12-15. BELOW EBR, centre-right.
# Both below-EBR at 125 MHz with equal FF counts. Below EBR = SPI readout / serialisation domain.
# Equal counts + symmetric positions suggest Ch1 and Ch2 readout paths (or even/odd byte streams).
n2231	clk_h0_spi_rd_a	clk	inferred	125	BRANCH_HPBX0000	45	AI: 45 FFs, 125 MHz. Tiles r7-10 c16-19 — below EBR band, right side. Equal FF count to n2219 (also below EBR, 125 MHz, c12-15). Symmetric positions and equal counts suggest Ch1/Ch2 EBR readout paths, or even/odd byte serialisation for SPI burst read. Below-EBR location is consistent with data flowing from EBR (row 6) downward toward SPI output. Inferred from spatial symmetry; specific channel assignment unknown.
n2219	clk_h0_spi_rd_b	clk	inferred	125	BRANCH_HPBX0000	45	AI: 45 FFs, 125 MHz. Tiles r7-10 c12-15 — below EBR band, centre-right. Symmetric partner to n2231 (c16-19). Same reasoning — EBR readout path for SPI burst read, paired with n2231. Inferred from spatial symmetry.

# Below-EBR 250 MHz domains — SPI serialiser / output pipeline running at full speed
# n2206: r7-10 c10-13. n2188: r7-10 c3-5. n2198: r7-9 c6-9. n2247: r7-10 c18-20 (near DAC pins).
n2206	clk_h2_spi_ser_a	clk	inferred	250	BRANCH_HPBX0200	56	AI: 56 FFs, 250 MHz. Tiles r7-10 c10-13 — below EBR band, centre. Below-EBR 250 MHz domain consistent with high-speed SPI serialiser or EBR-to-SPI pipeline. Inferred from below-EBR position + 250 MHz clock; specific function unknown.
n2188	clk_h2_spi_ser_b	clk	inferred	250	BRANCH_HPBX0200	52	AI: 52 FFs, 250 MHz. Tiles r7-10 c3-5 — below EBR band, left-centre. Below-EBR 250 MHz. Same reasoning as clk_h2_spi_ser_a.
n2198	clk_h2_spi_ser_c	clk	inferred	250	BRANCH_HPBX0200	41	AI: 41 FFs, 250 MHz. Tiles r7-9 c6-9 — below EBR band, centre-left. Below-EBR 250 MHz. Same reasoning.
n2247	clk_h2_dac_out	clk	inferred	250	BRANCH_HPBX0200	30	AI: 30 FFs, 250 MHz. Tiles r7-10 c18-20 — below EBR band, far right, adjacent to DAC output pins (DAC_D9/10/11 at rows 9-10 col 21, DAC_CLK at row 9 col 21). Proximity to DAC pins suggests this is the AWG DAC output pipeline (EBR R6C20 → DAC bus). Inferred from spatial proximity to DAC pads.

# Below-EBR 125 MHz domains
n2201	clk_h0_spi_ctrl_a	clk	inferred	125	BRANCH_HPBX0000	36	AI: 36 FFs, 125 MHz. Tiles r7-10 c8-11. Below EBR band, centre. 125 MHz below EBR — likely SPI control, readout state machine, or EBR address decode. Chains.txt section 7: drives 1 FF on R6C10 and R6C14 write side — control signal fed to EBR write ports from below. Inferred from below-EBR position + EBR control connection.
n2191	clk_h0_spi_ctrl_b	clk	inferred	125	BRANCH_HPBX0000	35	AI: 35 FFs, 125 MHz. Tiles r7-10 c5-7. Below EBR band, left-centre. 125 MHz below EBR. Same reasoning as clk_h0_spi_ctrl_a — SPI control / state machine domain.

# n1891: 27 FFs, 125 MHz. Tiles: r2-5 c8-11. ABOVE EBR — same band as n1877/n1897 but 125 MHz.
# Above EBR at 125 MHz while neighbours are 250 MHz — likely the slow-path side of ADC capture:
# address counter, write-enable generation, or Ch B pipeline element running at ENCB clock rate.
n1891	clk_h0_adc_ctrl	clk	inferred	125	BRANCH_HPBX0000	27	AI: 27 FFs, 125 MHz. Tiles r2-5 c8-11 — above EBR band, centre, surrounded by 250 MHz ADC pipeline domains (n1877 c6-9, n1897 c10-13). A 125 MHz island in the 250 MHz capture zone. Likely ADC write control (address counter, write-enable, trigger logic) running at CLKOS rather than full sample rate. Inferred from spatial context; specific control function unknown.

# HPBX0100 domains (below EBR, ~62.5 MHz inferred — frequency not confirmed)
# These span the bottom rows, suggesting SPI interface or slower control logic.
n2310	clk_h1_ctrl_a	clk	speculative	62.5	BRANCH_HPBX0100	30	AI: 30 FFs, HPBX0100. Tiles r8-10 c9-12. Below EBR, centre. HPBX0100 frequency unconfirmed (inferred ~62.5 MHz = CLKOS2). Chains.txt section 7: drives 1 FF on R6C14 and R6C20 write side. Below-EBR position + EBR control connections suggest SPI interface or slow control domain. Speculative on frequency.
