# Pluribus pin annotation file — Hantek 2D82AUTO / LCMXO2-1200HC-4TG100C TQFP100
#
# DEVICE METADATA — parsed by load.py
# device:   LCMXO2-1200
# package:  TQFP100
#
# Generated by: load.py --dump-pins
# Source: bitstream iomap (coordinates) + pin_annotations.json (names)
#
# COLUMN FORMAT
# pin  row  col  pio  dir  label  function  confidence  chip_ref  chip_pin  chip_signal  net_in  net_out  note
# confidence: 3=guess  5=estimate  8=inferred  10=confirmed
#
37	12	10	D	out	DAC_D1	flat routing: FPGA37→U12 pin11=D1	8	U12	11	D1		n2332	flat routing: FPGA37→U12 pin11=D1
38	12	10	A	out	DAC_D2	flat routing: FPGA38→U12 pin10=D2. PCLKT2_1 capable.	8	U12	10	D2		n2500	flat routing: FPGA38→U12 pin10=D2. PCLKT2_1 capable.
39	12	10	B	out	DAC_D3	flat routing: FPGA39→U12 pin9=D3. PCLKC2_1 capable.	8	U12	9	D3		n2334	flat routing: FPGA39→U12 pin9=D3. PCLKC2_1 capable.
40	12	14	A	out	DAC_D4	flat routing: FPGA40→U12 pin8=D4	8	U12	8	D4		n2236	flat routing: FPGA40→U12 pin8=D4
41	12	14	B	out	DAC_D5	flat routing: FPGA41→U12 pin7=D5	8	U12	7	D5		n2238	flat routing: FPGA41→U12 pin7=D5
42	12	17	A	out	DAC_D6	flat routing: FPGA42→U12 pin6=D6	8	U12	6	D6		n2511	flat routing: FPGA42→U12 pin6=D6
43	12	17	B	out	DAC_D7	flat routing: FPGA43→U12 pin5=D7	8	U12	5	D7		n2512	flat routing: FPGA43→U12 pin5=D7
45	12	17	C	out	DAC_D8	flat routing: FPGA45→U12 pin4=D8 (FPGA pin 44 = power, skipped)	8	U12	4	D8		n2342	flat routing: FPGA45→U12 pin4=D8 (FPGA pin 44 = power, skipped)
48	12	19	C	in	FPGA_SN	SN = MachXO2 sysCONFIG slave-enable. Pulled UP = SPI slave active. Hardwired sil	8	STM32	?	SPI1_NSS			SN = MachXO2 sysCONFIG slave-enable. Pulled UP = SPI slave active. Hardwired silicon — cannot be reassigned. STM32 asserts low to select FPGA.
49	12	19	D	bidir	FPGA_MOSI	SI/SISPI — STM32 → FPGA SPI data in	8	STM32	?	SPI1_MOSI			SI/SISPI — STM32 → FPGA SPI data in
51	10	21	D	out	DAC_D9	flat routing: FPGA51→U12 pin3=D9 (FPGA 46-50 = power/sysCONFIG corner, skipped)	8	U12	3	D9		n2343	flat routing: FPGA51→U12 pin3=D9 (FPGA 46-50 = power/sysCONFIG corner, skipped)
52	10	21	C	out	DAC_D10	flat routing: FPGA52→U12 pin2=D10	8	U12	2	D10		n2344	flat routing: FPGA52→U12 pin2=D10
53	9	21	D	out	DAC_D11	board-traced: FPGA53→U12 pin1=D11 (MSB). Confirmed by user. Flat-routing endpoin	10	U12	1	D11		n2345	board-traced: FPGA53→U12 pin1=D11 (MSB). Confirmed by user. Flat-routing endpoint.
54	9	21	C	out	DAC_CLK	board-traced: FPGA54→U12 pin28=CLK. NET n1163 — shared with ADC_ENCB (pin 98). P	10	U12	28	CLK		n1147	board-traced: FPGA54→U12 pin28=CLK. NET n1163 — shared with ADC_ENCB (pin 98). PLL CLKOS=125MHz, enters fabric from PCLKT global spine (no fabric driver, primary clock input). liveness=dead in report is a tool limitation: external pad output not modelled as a sink.
60	8	21	C	out	?	right-edge output. Definitely routed (board-observed) but destination unknown. N	5	?	?	?		n2243	DAC-A-domain fabric output (FF ff_r7c19_B1); leading reading = AWG output-amp enable/mute (SPI reg 0x02 bit6 AWG_ENABLE). NOT a DAC data bit, NOT U1. Board destination untraced. See fpga/docs/v07-fabric-datapath.md §3.
61	8	21	A	out	?	right-edge output. Definitely routed (board-observed) but destination unknown. N	5	?	?	?		n2508	Clock-output tap on the shared 125 MHz PLL net (fans out to DAC_CLK/DAC_PD/ADC_ENCB) — a deliberate fanout, NOT a short and NOT DAC/U1. Board destination untraced. See fpga/docs/v07-fabric-datapath.md §3.
62	5	21	D	out	U1_DS	board-traced: FPGA62→U1 pin14=DS (serial data). CH1 AFE control. Matches U7 layo	10	U1	14	DS		n24	board-traced: FPGA62→U1 pin14=DS (serial data). CH1 AFE control. Matches U7 layout (FPGA8=DS).
63	5	21	C	out	U1_SHCP	board-traced: FPGA63→U1 pin11=SHCP (shift clock). Matches U7 layout (FPGA9=SHCP)	10	U1	11	SHCP		n1527	board-traced: FPGA63→U1 pin11=SHCP (shift clock). Matches U7 layout (FPGA9=SHCP).
64	5	21	B	out	U1_STCP	board-traced: FPGA64→U1 pin12=STCP (latch clock). Matches U7 layout (FPGA10=STCP	10	U1	12	STCP		n1833	board-traced: FPGA64→U1 pin12=STCP (latch clock). Matches U7 layout (FPGA10=STCP).
65	5	21	A	out	ADC_ENCA	FPGA output SSTL25_I drive-24 pull=NONE → U31 pin 47 ENCA. Clocks ch A. Adjacent	5	U31	47	ENCA		n2508	FPGA output SSTL25_I drive-24 pull=NONE → U31 pin 47 ENCA. Clocks ch A. Adjacent to ch A data run (flat routing). CIB arc bug (#57) fixed: fabric net = n2496. No LUT/FF driver in fabric (0 fanout) — driven from clock spine (same mechanism as n1163/ADC_ENCB). Expected 180° phase-shifted from n1163 for interleaved ~250MSPS.
66	4	21	D	in	ADC_D7A	flat routing from anchor FPGA75→U31p37=D0A; pin 66 = D7A (MSB)	10	U31	44	D7A	n2783		flat routing from anchor FPGA75→U31p37=D0A; pin 66 = D7A (MSB)
67	4	21	C	in	ADC_D6A	flat routing from anchor	8	U31	43	D6A	n2780		flat routing from anchor
68	4	21	B	in	ADC_D5A	flat routing from anchor	8	U31	42	D5A	n2534		flat routing from anchor
69	4	21	A	in	ADC_D4A	flat routing from anchor	8	U31	41	D4A	n2081		flat routing from anchor
70	3	21	B	in	ADC_D3A	flat routing from anchor	8	U31	40	D3A	n2779		flat routing from anchor
71	3	21	A	in	ADC_D2A	flat routing from anchor	8	U31	39	D2A	n2777		flat routing from anchor
74	2	21	B	in	ADC_D1A	flat routing from anchor	8	U31	38	D1A	n2775		flat routing from anchor
75	2	21	A	in	ADC_D0A	board-traced: FPGA 75 → U31 pin 37 = D0A (ch A LSB)	10	U31	37	D0A	n343		board-traced: FPGA 75 → U31 pin 37 = D0A (ch A LSB)
83	0	14	B	in	ADC_D0B	board-traced: FPGA 83 → U31 pin 24 = D0B (ch B LSB). Routing flat/straight.	10	U31	24	D0B	n2541		board-traced: FPGA 83 → U31 pin 24 = D0B (ch B LSB). Routing flat/straight.
84	0	14	A	in	ADC_D1B	flat routing from pin 83 anchor; U31 pin 23 = D1B	8	U31	23	D1B	n2540		flat routing from pin 83 anchor; U31 pin 23 = D1B
85	0	11	D	in	ADC_D2B	flat routing; U31 pin 22 = D2B. FPGA site SDA/PCLKC0_0	8	U31	22	D2B	n2531		flat routing; U31 pin 22 = D2B. FPGA site SDA/PCLKC0_0
86	0	11	C	in	ADC_D3B	flat routing; U31 pin 21 = D3B. FPGA site SCL/PCLKT0_0	8	U31	21	D3B	n1977		flat routing; U31 pin 21 = D3B. FPGA site SCL/PCLKT0_0
87	0	11	B	in	ADC_D4B	flat routing; U31 pin 20 = D4B. FPGA site PCLKC0_1	8	U31	20	D4B	n2536		flat routing; U31 pin 20 = D4B. FPGA site PCLKC0_1
88	0	11	A	in	ADC_D5B	flat routing; U31 pin 19 = D5B. FPGA site PCLKT0_1	8	U31	19	D5B	n2532		flat routing; U31 pin 19 = D5B. FPGA site PCLKT0_1
96	0	9	B	in	ADC_D6B	flat routing; U31 pin 18 = D6B	8	U31	18	D6B	n2525		flat routing; U31 pin 18 = D6B
97	0	9	A	in	ADC_D7B	flat routing; U31 pin 17 = D7B (ch B MSB)	8	U31	17	D7B	n2524		flat routing; U31 pin 17 = D7B (ch B MSB)
98	0	8	B	out	ADC_ENCB	FPGA output SSTL25_I drive-24 → U31 pin 14 ENCB. NET n1163 — shared with DAC_CLK	8	U31	14	ENCB		n1147	FPGA output SSTL25_I drive-24 → U31 pin 14 ENCB. NET n1163 — shared with DAC_CLK (pin 54). PLL CLKOS=125MHz from PCLKT global spine, no fabric driver. ADC interleaved: ENCA+ENCB driven 180° out of phase at 125MHz → ~250MSPS effective. liveness=dead is tool limitation (external pad). CIB arc bug (#57) blocks backward trace from this pin into fabric.
99	0	8	A	out	?	top-edge output R0C8:PIOA. CIB arc bug (#57) fixed: fabric net = n2513. No LUT/F	5	?	?	?		n2526	top-edge output R0C8:PIOA. DAC-B-phase fabric output (FF ff_r3c11_B1, clk_dac_data_b) — a different signal from pin60. Board destination untraced. See fpga/docs/v07-fabric-datapath.md §3.
